LABEL,TEXT,URL,EMAIL,PHONE,TEXTO
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,No,No,No,"Oh, cállate. Dios mío, ayer tuve el sueño de que tenía 2 hijos a ambos niños. Estaba tan enojado. No solo sobre los niños sino que son niños. Incluso le dije a Mark en mi sueño que estaba cambiando de pañales porque no me deben en la cara."
ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",No,No,No,"Ahhhh ... ¡Acabo de despertar! Tuve un mal sueño contigo aunque, así que no me gustas en este momento :) No sabía nada sobre la noche de comedia, pero supongo que estoy preparado para eso."
ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,No,No,No,"Es difícil creer cosas como esta. Todos pueden decir mentir, pero piense dos veces antes de decirme algo."
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),No,No,No,"Wow no pensó que fuera tan común. ¡Lo llevo todo, no es un monstruo! A menos que lo cortes :-)"
spam,"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",No,No,yes,"5 Tubos polifónicos superiores Llame al 087018728737, tarifa nacional. Reciba una melodía de toppoly cada semana, solo envíe un mensaje de texto a 81618, £ 3 por polo. Unsub 08718727870."
ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,No,No,No,"Sí, él me envía: ¿es tat yijue? Luego me complace que es mi compañero de grupo porque nos reunimos hoy, mah ... pregunto si ü se iría antes o wat mah cos mayb ü haf para caminar V lejos ..."
ham,You need to get up. Now.,No,No,No,Necesitas levantarte. Ahora.
Smishing,	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,No,No,yes,Tiene un importante anuncio de servicio al cliente. ¡Llame a Frephone 0800 542 0825 ahora!
ham,Howz pain?hope u r fine..,No,No,No,¿Cómo dolor? Espero que estés bien ..
ham,Love it! The girls at the office may wonder why you are smiling but sore...,No,No,No,¡Me encanta! Las chicas de la oficina pueden preguntarse por qué estás sonriendo pero dolorido ...
Smishing,	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,No,No,yes,"<Reenviado desde 448712404000> Llame al 08712404000 inmediatamente, ya que hay un mensaje urgente que lo espera."
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,No,No,No,Todavía no funciona. Y esta vez también intenté agregar ceros. Ese fue el ahorro. La corriente es & lt;#& gt;
ham,how's things? Just a quick question.,No,No,No,¿Cómo van las cosas? Solo una pregunta rápida.
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,No,No,No,"Morir ... Eliminé accidentalmente E MSG, supongo que 2 Pon en E SIM Archive. Haiz ... estoy tan triste ..."
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",No,No,No,"No, * no * no quise publicarlo. Lo escribí, y como muchas otras veces que te he hecho cosas, lo dejé sentarse allí. Era lo que estaba sintiendo en ese momento. Estaba enojado. Antes de irme, golpeé el envío, luego me detiene. No estaba allí. Revisé mi teléfono cuando llegué a mi auto. No estaba allí. Dijiste que no dormías, que estabas aburrido. Entonces, ¿por qué no sería ese momento para limpiar, doblar la ropa, etc.? Al menos hacer la cama?"
ham,Sorry i missed your call. Can you please call back.,No,No,No,"Lo siento, me perdí tu llamada. ¿Puedes devolver la llamada?"
ham,How are you. Its been ages. How's abj,No,No,No,Cómo estás. Han pasado años. ¿Cómo está ABJ?
ham,As if i wasn't having enough trouble sleeping.,No,No,No,Como si no estuviera teniendo suficientes problemas para dormir.
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,No,No,No,"Hola. Van al pub de la aldea a las 8, así que vengan aquí o allá en consecuencia. ¿De acuerdo?"
ham,Thnx dude. u guys out 2nite?,No,No,No,Thnx dude. ¿Ustedes salen 2nite?
spam,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3",No,No,yes,"Noida Commercial Wave Sec-18 Silver @ 11500/- PSF Gold @ 12500/- PSF, Logix Sec-124 @ 8200/- PSF para la mejor oferta llame al 9711131802/3"
ham,So are you guys asking that i get that slippers again or its gone with last year,No,No,No,"Entonces, ¿están pidiendo que vuelva a tener esas zapatillas o se haya ido el año pasado?"
ham,U guys never invite me anywhere :(,No,No,No,Ustedes nunca me invitan a ninguna parte :(
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,yes,No,yes,Bonus de HMV Especial 500 libras de cupones de HMV genuinos que se ganarán. Simplemente responda 4 preguntas fáciles. Enviar HMV al 86688 Más información: www.100 porcent--real.com
ham,My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,No,No,No,Mi computadora simplemente frió la única parte esencial de la que no mantenemos los repuestos porque mis idiotas compañeros de cuarto looovvve dejan la cosa funcionando en Full & lt;#& gt; /7
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",No,No,No,"¡Hola bollos sexys! ¿Te lo he dicho? Te adoro, amante. Espero que recuerdes agradecer a tu cuñada por esas albóndigas * sonrisas * ... te amo, nena"
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",No,No,yes,"Bienvenido a UK-Mobile-Date Este MSG es gratuito que le brinda una llamada gratuita al 08719839835. Future MGS facturado a 150p diariamente. Para cancelar enviar ""ir parada"" al 89123"
ham,"Velly good, yes please!",No,No,No,"Velly bien, ¡sí por favor!"
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",No,No,No,"Al finalizar de marzo, debería estar listo. Pero te llamará seguro. El problema es que mi capital nunca se completa. Que tan lejos contigo. ¿Cómo está el trabajo y las damas?"
Smishing,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,No,No,yes,Usted ha ganado un premio garantizado de £ 200 o incluso £ 1000 Cashto reclamo su premio gratis al 08000407166 (18+) 2 parada getstop en 88333 php
ham,Jokin only lar... :-) depends on which phone my father can get lor...,No,No,No,Jokin solo lar ... :-) Depende del teléfono que mi padre pueda obtener para ...
ham,I thought slide is enough.,No,No,No,Pensé que la diapositiva es suficiente.
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,No,No,No,"¡Soy Gonnamissu tanto! ¡Diría que te enviaré una postal sobre las posibilidades de que Merememberin hay que hay Ofsi, no rompa su contrato! Luv Yaxx"
ham,Dude we should go sup again,No,No,No,Amigo deberíamos volver a SUP
Smishing,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",No,No,yes,"¡Su servicio de citas está contactado por alguien que conoce! Para saber quién es, llame desde una línea fija 09050000928. POBOX45W2TG150P"
ham,Shopping lor. Them raining mah hard 2 leave orchard.,No,No,No,Compras para. Llueven a Mah Hard 2 Dejen Orchard.
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,No,No,No,¿Qué pasa con mi propio oga? Dejé mi teléfono en casa y solo vi tus mensajes. Espero que estés bien. Que tengas un gran fin de semana.
ham,Need a coffee run tomo?Can't believe it's that time of week already,No,No,No,¿Necesitas un café Run Tomo? No puedo creer que sea esa época de la semana ya
ham,Oooh bed ridden ey? What are YOU thinking of?,No,No,No,Oooh cama montada ey? ¿En qué estás pensando?
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.,No,No,No,"Ok, no un problema les hará un taxi. Cing mañana y martes. El martes creo que todos vamos al cine."
ham,Ok... C ya...,No,No,No,Ok ... c ya ...
ham,Are you this much buzy�.I don�t think so,No,No,No,¿Eres tan bosque? No lo creo
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,No,No,No,Preguntó 3mobile si 0870 chatlines incluye en mínimos gratis. India Cust sirve SED Sí. L8er consiguió Mega Bill. 3 No das una mierda. Alguacil que se debe en días. I o £ 250 3 quiero £ 800
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,No,No,No,"Por favor, dale 2 o lo recogeré el martes por la noche alrededor de las 8 si está bien."
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,No,No,No,Estuve despierto toda la noche también preocupado por esta cita. Es una pena que hayamos extrañado una noche de chicas con palomitas de maizón y tú me peinan.
ham,Ha ha ha good joke. Girls are situation seekers.,No,No,No,"Ja, ja, ja, buena broma. Las niñas son buscadoras de situación."
ham,"Sir, i am waiting for your call.",No,No,No,"Señor, estoy esperando su llamada."
ham,Yay! You better not have told that to 5 other girls either.,No,No,No,¡Hurra! Es mejor que tampoco le hayas dicho eso a otras 5 chicas.
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.,No,No,No,Pero voy a ir 2 Sch en el lunes. Mi hermana necesita 2 tomar SMTH.
ham,Yo theres no class tmrw right?,No,No,No,No hay clase TMRW ¿verdad?
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",No,No,No,"Mi doloroso pensamiento personal: ""Siempre trato de mantener a todos felices todo el tiempo. Pero nadie me reconoce cuando estoy solo"""
spam,RCT' THNQ Adrian for U text. Rgds Vatian,No,No,No,Rct 'thnq adrian para u texto. RGDS VATIAN
ham,Not sure I have the stomach for it ...,No,No,No,No estoy seguro de tener el estómago para ello ...
Smishing,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate",No,No,yes,"Esta es la segunda vez que hemos probado 2 contacto u. Has ganado el premio de 750 libras. 2 Reclamo es fácil, llame al 08712101359 ahora! Solo 10p por min. Bt-National Tel"
Spam,	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,No,No,yes,¡Disfruta del club de oro de videos de Jamster con tus créditos para 2 nuevos videosmiros+2 logotipos+MusicNews! ¡Diviértete más de Jamster.co.uk! 16+solo ayuda? Llame al: 09701213186
ham,I'll let you know when it kicks in,No,No,No,Te haré saber cuando se active
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.",No,No,No,"Sí, no hay necesidad. Esperaré 4 e Rain 2 parada."
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),No,No,No,¿Alguna vez pensó en vivir una buena vida con una pareja perfecta? Simplemente envíe el nombre y la edad de retroceso para unirse a la comunidad móvil. (100p/sms)
Smishing,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,No,No,yes,Estimado cliente de Paytm Su Paytm Kyc ha expirado. Póngase en contacto con la atención al cliente No-6200992462 de inmediato. Su cuenta se bloqueará dentro de las 24 horas. Gracias Paytm Team.
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",No,No,No,"Las redes 0a $ permiten a las empresas facturar por SMS, por lo que son responsables de sus ""proveedores"", así como una tienda tiene que garantizar lo que venden. B. G."
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,No,No,No,Aún no está planeado :) solo se unirá a la compañía el 5 de enero. Don saber qué sucederá después de eso.
ham,"Arms fine, how's Cardiff and uni? ",No,No,No,"Brazos bien, ¿cómo están Cardiff y uni?"
spam,oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha,No,No,yes,Servicio PASE para asistencia de pasaporte/Tarjeta PAN/Renta de la renta Declaración/Retención del IVA/Declaración de impuestos del servicio Contacto M/S ONS 96506699988 JWALA HERI MKT PASCHIM VIHA
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),No,No,No,Lamento mucho que no pueda hacer este viernes. Espero que puedas encontrar una alternativa. Espero que el término vaya bien :-)
ham,Ok then i will come to ur home after half an hour,No,No,No,"Ok, vendré a tu casa después de media hora"
ham,ITS A LAPTOP TAKE IT WITH YOU.,No,No,No,Es una computadora portátil llévala contigo.
ham,S.i think he is waste for rr..,No,No,No,S. Creo que es desperdicio para RR ..
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,No,No,No,"De todos modos, golpéame en serio cuando regreses porque de lo contrario tengo que iluminar con Armand y él siempre tiene mierda y/o está vomitando"
Spam,PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert,yes,No,No,"PL: ¡Battle Royale! Gilchrist vs Warne hoy a las 8pm. Haga clic en http://ipl.onmix.mobi/?src=504 para IPL en móvil. Para detener las alertas de mezcla, haga clic en http://onmix.mobi/alert"
ham,Dun need to use dial up juz open da browser n surf...,No,No,No,DUN necesita usar el margen de margen de margen de margen de marre
ham,You call him and tell now infront of them. Call him now.,No,No,No,Lo llamas y le dices ahora frente a ellos. Llámalo ahora.
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",No,No,No,"Nueva teoría: el argumento gana una situación, pero pierde a la persona. Así que no discutas con tus amigos solo ... . . patearlos y amp; Digamos, siempre estoy en lo correcto."
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...",No,No,No,"Noe la ... u wana pei bf oso rite ... k lor, otros días den ..."
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,No,No,No,"Oye, les diste tu foto cuando te registraste para conducir, ¿ah? TMR ¿Quieres conocer en YCK?"
ham,And by when you're done I mean now,No,No,No,Y cuando terminas quiero decir ahora
ham,I dont want to hear anything,No,No,No,No quiero escuchar nada
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,No,No,No,Un poco. Lo llevó al garaje. La parte central del escape necesita reemplazar. Parte ordenó que lo tomara para ser arreglado por la mañana.
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",No,No,No,"Freemsg Hey u, acabo de obtener 1 de estos videos/fotos de fotos, responda salvaje a este txt y te enviaré mis fotos, apúrate, estoy tan aburrido en el trabajo xxx (18 150p/rcvd stop2stop)"
ham,"[…] anyway, many good evenings to u! s",No,No,No,"[...] de todos modos, muchas buenas noches para ti! s"
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.,No,No,No,¡Qué! Calma las theacusaciones ... itxt u cos iwana saber wotu r doin en thew/end ... no ha avanzado en edades ... abrírame si eres 4 nometht sat.love j xxx.
ham,Ü takin linear algebra today?,No,No,No,Ü Takin Linear Algebra hoy?
ham,"Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",No,No,No,"Jan se acerca rápidamente. Entonces, te deseo un muy feliz año nuevo Feliz día de Sankranti Feliz Día de la República Feliz Día de San Valentín Shivratri Feliz Día de los Focos Felices Día de Independencia Feliz Mayo, Feliz Amistad, Madre, Padre, Maestros, Día de Niños y Amp; Feliz cumpleaños 4 U. Feliz Festival Ganesh Happy Dasara Happy Diwali Happy Christmas & lt;#& gt;  Buenas tardes de la mañana, noches de fin de noche. Recuerda que soy el primero en desearte todo esto ... tu raj"
